id,order,genus,Epitet,Sp name,Complete name
654,RODENTIA,Proechimys,roberti,Proechimys roberti,"P. roberti Thomas, 1901 27"
655,RODENTIA,Proechimys,simonsi,Proechimys simonsi,"P. simonsi Thomas, 1900"
656,RODENTIA,Proechimys,steerei,Proechimys steerei,"P. steerei Goldman, 1911"
317,CHIROPTERA,Promops,centralis,Promops centralis,"P. centralis Thomas, 1915"
318,CHIROPTERA,Promops,nasutus,Promops nasutus,"P. nasutus (Spix, 1823)"
94,CETACEA,Pseudorca,crassidens,Pseudorca crassidens,"P. crassidens (Owen, 1846)"
564,RODENTIA,Pseudoryzomys,simplex,Pseudoryzomys simplex,"P. simplex (Winge, 1887)"
320,CHIROPTERA,Pteronotus,davyi,Pteronotus davyi,"P. davyi Gray, 1838 6"
321,CHIROPTERA,Pteronotus,gymnonotus,Pteronotus gymnonotus,"P. gymnonotus Wagner, 1843 7"
322,CHIROPTERA,Pteronotus,parnellii,Pteronotus parnellii,"P. parnellii (Gray, 1843)"
323,CHIROPTERA,Pteronotus,personatus,Pteronotus personatus,"P. personatus (Wagner, 1843)"
260,CARNIVORA,Pteronura,brasiliensis,Pteronura brasiliensis,"P. brasiliensis (Gmelin, 1788)"
251,CARNIVORA,Puma,concolor,Puma concolor,"P. concolor (Linnaeus, 1771)"
252,CARNIVORA,Puma,yagouaroundi,Puma yagouaroundi,"P. yagouaroundi (É. Geoffroy, 1803)"
396,CHIROPTERA,Pygoderma,bilabiatum,Pygoderma bilabiatum,"P. bilabiatum (Wagner, 1843)"
565,RODENTIA,Reithrodon,typicus,Reithrodon typicus,"R. typicus Waterhouse, 1837"
566,RODENTIA,Rhagomys,rufescens,Rhagomys rufescens,"R. rufescens (Thomas, 1886)"
397,CHIROPTERA,Rhinophylla,fischerae,Rhinophylla fischerae,"R. fischerae Carter, 1966"
398,CHIROPTERA,Rhinophylla,pumilio,Rhinophylla pumilio,"R. pumilio Peters, 1865"
567,RODENTIA,Rhipidomys,cariri,Rhipidomys cariri,"R. cariri Tribe, 2005"
568,RODENTIA,Rhipidomys,emiliae,Rhipidomys emiliae,"R. emiliae (J. A. Allen, 1916)"
569,RODENTIA,Rhipidomys,gardneri,Rhipidomys gardneri,"R. gardneri Patton, da Silva & Malcolm, 2000"
570,RODENTIA,Rhipidomys,ipukensis,Rhipidomys ipukensis,"R. ipukensis Rocha, B.M.A Costa & L.P. Costa, 2011"
571,RODENTIA,Rhipidomys,itoan,Rhipidomys itoan,"R. itoan B.M.A. Costa, Geise, Pereira & L.P. Costa, 2011"
572,RODENTIA,Rhipidomys,leucodactylus,Rhipidomys leucodactylus,"R. leucodactylus (Tschudi,1845)"
573,RODENTIA,Rhipidomys,macconnelli,Rhipidomys macconnelli,"R. macconnelli de Winton, 1900 13"
574,RODENTIA,Rhipidomys,macrurus,Rhipidomys macrurus,"R. macrurus (Gervais, 1855)"
575,RODENTIA,Rhipidomys,mastacalis,Rhipidomys mastacalis,"R. mastacalis (Lund, 1840)"
576,RODENTIA,Rhipidomys,nitela,Rhipidomys nitela,"R. nitela Thomas, 1901"
577,RODENTIA,Rhipidomys,tribei,Rhipidomys tribei,"R. tribei B.M.A. Costa, Geise, Pereira & L.P. Costa, 2011"
578,RODENTIA,Rhipidomys,wetzeli,Rhipidomys wetzeli,"R. wetzeli Gardner, 1989 13"
447,CHIROPTERA,Rhogeessa,hussoni,Rhogeessa hussoni,"R. hussoni Genoways & Baker, 1996 22"
448,CHIROPTERA,Rhogeessa,io,Rhogeessa io,"R. io Thomas, 1903 22"
286,CHIROPTERA,Rhynchonycteris,naso,Rhynchonycteris naso,"R. naso (Wied-Neuwied, 1820)"
287,CHIROPTERA,Saccopteryx,bilineata,Saccopteryx bilineata,"S. bilineata (Temminck, 1838)"
288,CHIROPTERA,Saccopteryx,canescens,Saccopteryx canescens,"S. canescens Thomas, 1901"
289,CHIROPTERA,Saccopteryx,gymnura,Saccopteryx gymnura,"S. gymnura Thomas, 1901"
290,CHIROPTERA,Saccopteryx,leptura,Saccopteryx leptura,"S. leptura (Schreber, 1774)"
172,PRIMATES,Saguinus,bicolor,Saguinus bicolor,"S. bicolor (Spix, 1823)"
173,PRIMATES,Saguinus,fuscicollis,Saguinus fuscicollis,"S. fuscicollis (Spix, 1823) 3"
174,PRIMATES,Saguinus,fuscus,Saguinus fuscus,"S. fuscus (Lesson, 1840)"
175,PRIMATES,Saguinus,imperator,Saguinus imperator,"S. imperator (Goeldi, 1907)"
176,PRIMATES,Saguinus,inustus,Saguinus inustus,"S. inustus (Schwarz, 1951)"
177,PRIMATES,Saguinus,labiatus,Saguinus labiatus,"S. labiatus (É. Geoffroy, 1812)"
178,PRIMATES,Saguinus,martinsi,Saguinus martinsi,"S. martinsi (Thomas, 1912)"
179,PRIMATES,Saguinus,midas,Saguinus midas,"S. midas (Linnaeus, 1758)"
180,PRIMATES,Saguinus,mystax,Saguinus mystax,"S. mystax (Spix, 1823) 4"
181,PRIMATES,Saguinus,niger,Saguinus niger,"S. niger (É. Geoffroy, 1803)"
