"scientificname"	"longitude"	"latitude"	"collectioncode"	"catalognumber"	"identifiedby"	"country"	"stateprovince"	"county"	"locality"	"daycollected"	"monthcollected"	"yearcollected"	"collector"	"collectornumber"	"notes"	"source"	"remove.type"
"Cavanillesia arborea"	0	0	"UEC"	"73105"	""	"Brazil"	"Bahia"	"Bom Jesus da Lapa"	"Estrada para Ibotirama. Caatinga."	19	8	1994	"<c1>rbocz, G.F."	"671"	"Frut<ed>fero. <c1>rvore de aproximadamente 25 - 30 m de altura. Fruto rosa. Estimativa de frutifica<e7><e3>o: agosto a outubro."	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"UEC"	"79338"	""	"Brazil"	"Minas Gerais"	"Janu<e1>ria"	"Fazenda Santa Cec<ed>lia. Mata seca."	17	8	1994	"<c1>rbocz, G.F."	"659"	"Material coletado: vegetativo. Flor<ed>fero. <c1>rvore de aproximadamente 25 - 30 m de altura, 1,0 m DAP. Tronco com desenhos em relevo. Sem folhas, apenas flores. Flores rosas. Estimativa de florescimento: julho e agosto."	"splink"	"lat. 0"
"Cavanillesia arborea (Willd.) K.Schum."	0	-15.210278	"BHCB"	"64840"	NA	"Brazil"	"Minas Gerais"	NA	"Furados."	19	10	2001	"Lombardi, JA; Dulith, JHA & Semir, J"	"4448"	"áreas mais elevadas de carrasco em volta do lageado, terreno argiloso. Árvore, ca. 25 m, sem folhas, frutos caidos, plântulas emergindo, cotilédones carnosos; DESC: áreas mais elevadas de carrasco em volta do lageado, terreno argiloso. Árvore, ca. 25 m,"	"gbif"	"long. 0"
"Cavanillesia arborea (Willd.) K.Schum."	0	-15.210278	"BHCB"	"64840"	NA	"Brazil"	"Minas Gerais"	NA	"Furados."	19	10	2001	"Lombardi, JA; Dulith, JHA & Semir, J"	"4448"	"áreas mais elevadas de carrasco em volta do lageado, terreno argiloso. Árvore, ca. 25 m, sem folhas, frutos caidos, plântulas emergindo, cotilédones carnosos; DESC: áreas mais elevadas de carrasco em volta do lageado, terreno argiloso. Árvore, ca. 25 m,"	"gbif"	"long. 0"
"Cavanillesia umbellata Ruiz & Pav."	-74.306111	-11.1425	"E"	"E00509174"	NA	"Peru"	"Junín"	NA	"Road Puerto Ocopa - Atalaya"	25	9	2007	"Pennington, R.Toby"	"1927"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-68.527778	-14.235	"MO"	"2879912"	"A. Fuentes (LPB)"	"Bolivia, Plurinational State of"	"La Paz"	"Franz Tamayo"	"Área Natural de Manejo Integrado Madidi, Azariamas, frente al arroyo Jaukantista.  Terraza antigua. Plantas NO alcoholizadas."	29	9	2005	"L. Cayola|C. Campos|A.S. Poma C.|Remberto Jove|H. Urbano"	"Cayola Pérez 1818"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-68.51111	-14.21277	"MO"	"2881035"	"A. Fuentes (LPB)"	"Bolivia, Plurinational State of"	"La Paz"	"Franz Tamayo"	"Parque Nacional Madidi, Azariamas, arroyo San Roque. Bosque de yungas subandino pluviestacional con Pentaplaris davidsmithii y Erythrochiton fallax. Fondo de valle. Parcela temporal de muestreo (0,1 ha). Plantas NO alcoholizadas."	11	10	2005	"L. Cayola|C. Campos|A.S. Poma C.|Remberto Jove|H. Urbano"	"Cayola Pérez 2004"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-67.78861	-14.98777	"MO"	"1749941"	"I. Loza (LPB)"	"Bolivia, Plurinational State of"	"La Paz"	"Franz Tamayo"	"Parque Nacional Madidi, río Quendeque, detrás del campamento ""Retamas"". Bosque amazónico pluviestacional húmedo, de piedemonte subandino, bien drenado, con Pentaplaris davidsmithii, Arecaceae spp, Annonaceae spp, Burseraceae spp, Moraceae spp. En terraza antigua. Parcela Temporal de Muestreo (0.1 ha) 4."	28	1	2002	"D. De la Quintana"	"De la Quintana 174"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-67.79333	-14.97666	"MO"	"1764448"	"V. Cardona, Rev. W. Alverson (F)"	"Bolivia, Plurinational State of"	"La Paz"	"Franz Tamayo"	"Parque Madidi, orilla izquierda Río Quendeque, una hora del campamento Retamas. bosque bajo, con muchas palmeras, bejucos, en el sotobosque muchas marantaceas y Asplundia"	25	1	2002	"Renate Seidel|et al."	"Seidel 8450"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-67.956111	-14.367222	"MO"	"1854564"	"I. Loza (LPB)"	"Bolivia, Plurinational State of"	"La Paz"	"Abel Iturralde"	"Área Natural de Manejo Integrado Madidi. Arroyo Rudidi, sobre el Río Tuichi."	14	10	2002	"Alejandro Araujo M.|Héctor Cabrera|M.H. Calzadilla|Fabiola Torrico|Leopoldo Lucia|L. Quetehuari|Justino Navi|Marcelino Villanueva"	"Araujo Murakami 374"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-70.26083	-3.81692	"COAH"	"33296"	"Cárdenas, D."	"Colombia"	"Amazonas"	"Leticia"	"PNN Amacayacu, sector de Mata-Matá."	20	8	1998	"Arias-G., J.C."	"559"	"Ejemplar botánico"	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-70.54944	-3.76115	"COAH"	"33513"	"Cárdenas, D."	"Colombia"	"Amazonas"	"Puerto Nariño"	"San Pedro de Tipisca, río Loretoyacú (afluente del río Amazonas), terraza baja, moderadamente disectadas"	30	8	1996	"Posada, A."	"2548"	"Ejemplar botánico"	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-73.5	-4.166667	"MO"	"188621"	NA	"Peru"	"Loreto"	"Maynas"	"Distrito Iquitos. Allpahuayo, estación IIAP. Bosque primario."	14	10	1993	"Rodolfo Vásquez"	"Vásquez Martínez 18338"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-68	-15.5	"Botany"	NA	"R. Seidel"	"Bolivia, Plurinational State of"	"La Paz"	NA	NA	26	2	1992	"R. Seidel"	"5706"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-70.25	-3.7	"FMB"	"FMB-053862"	"Fernández-Alonso, José"	"Colombia"	"Amazonas"	"Leticia"	"Alrededores de la quebrada Agua Pudre"	24	3	1992	"Rudas, Agustín; Giraldo, D.; Tuberguias, D.; Uribe, F."	"3613"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-70.25	-3.733333	"HUIS"	"11111"	"A. Rudas"	"Colombia"	"Amazonas"	"Leticia"	"Parque Nacional Natural Amacayacu, quebrada Agua Pudre"	24	3	1992	"Rudas A."	"3613"	"Árbol # 1146 de 10 m. x 24.3 cm"	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-70.25	-3.7	"MO"	"189845"	"A. Rudas (COL)"	"Colombia"	"Amazonas"	NA	"Municipio de Leticia. Parque Nacional Natural Amacayacu. Alrededores de la quebrada Agua Pudre en bosque de terra firme. Parcela E, No. 17."	24	3	1992	"Agustin Rudas L.|Diego Giraldo-Cañas|et al."	"Rudas Lleras 3613"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-69.05	-12.48333	"MO"	"189926"	"R. Vasquez (MO)"	"Peru"	"Madre de Dios"	"Tambopata"	"Las Piedras. Cusco Amazónico. Inventario Permanente. Plantas colectadas en trocha F y I."	29	10	1991	"Martín E. Timaná|Nestor Jaramillo"	"Timaná 2868"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-69.05	-12.48333	"MO"	"189932"	"R. Vasquez (MO)"	"Peru"	"Madre de Dios"	"Tambopata"	"Las Piedras. Cusco Amazónico. Inventario Permanente. Plantas colectadas en trocha F y I."	29	10	1991	"Martín E. Timaná|Nestor Jaramillo"	"Timaná 2871"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-69.05	-12.58333	"MO"	"190183"	"M. Timana (MO)"	"Peru"	"Madre de Dios"	"Tambopata"	"Cusco Amazónico Lodge. TREEPLOTS"	16	4	1990	"Percy Núñez V."	"Núñez Vargas 12121"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-65.5	-14	"Botany"	NA	"R. B. Foster : Field Museum of Natural History"	"Bolivia, Plurinational State of"	"Beni"	NA	NA	28	5	1988	"S. G. Beck"	"16640"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-72.933	-3.241	"MO"	"190042"	"R. Vasquez (MO)"	"Peru"	"Loreto"	"Maynas"	"Yanamono, Explorama Tourist Camp, halfway between Indiana and mouth of Río Napo, non- flooded forest on rather fertile soil."	30	7	1988	"H. van der Werff|et al."	"van der Werff 9853"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-73.33333	-4.58333	"MO"	"190325"	"J.L. Fernandez A. (COL)"	"Peru"	"Loreto"	"Maynas"	"Dtto. Iquitos, Km 42 Carretera Iquitos-Nauta. Bosque primario."	18	8	1987	"Rodolfo Vásquez|Nestor Jaramillo"	"Vásquez Martínez 9378"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-70.25	-12	"Botany"	NA	NA	"Peru"	"Madre de Dios"	NA	NA	29	7	1984	"R. B. Foster"	"9716"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-75.01666	-8.75	"MO"	"189022"	"A. Gentry"	"Peru"	"Huánuco"	NA	"Km 11 to Km 12. Carretera Marginal (in construction) S of Pucallpa-  Tingo Maria road at Bosque von Humboldt."	31	5	1983	"Alwyn H. Gentry|Nestor Jaramillo"	"Gentry 41362"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-75.8333	-9.5	"Botany"	NA	"A. H. Gentry"	"Peru"	"Hu<U+FFFD>nuco"	NA	NA	31	5	1983	"A. H. Gentry"	"41362"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-75.033333	-9.683333	"MO"	"1483389"	"A. Gentry"	"Peru"	"Ucayali"	NA	"Carretera Marginal, 22 km S of Km 86."	11	2	1981	"Alwyn H. Gentry|Sue Libenson|Kenneth Young|Mark E. Olson"	"Gentry 31213"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-76.46666	-2.8	"MO"	"188341"	"A. Gentry"	"Peru"	"Loreto"	"Alto Amazonas"	"Andoas, Río Pastaza near Ecuador border. Mature and disturbed forest on lateritic soil."	14	8	1980	"Alwyn H. Gentry|Rodolfo Vásquez|Nestor Jaramillo"	"Gentry 29688"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-70.25	-12	"Botany"	NA	NA	"Peru"	"Madre de Dios"	NA	NA	30	9	1980	"R. B. Foster"	"5432"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-70.25	-12	"Botany"	NA	NA	"Peru"	"Madre de Dios"	NA	NA	30	9	1980	"R. B. Foster"	"5432"	NA	"gbif"	"fora polígono limite"
"Cavanillesia arborea (Willd.) K.Schum."	-30.083333	-12.533333	"HUEFS"	"832"	NA	"Brazil"	"Bahia"	NA	NA	NA	11	1980	"Grupo Pedra do Cavalo"	"925"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-71.366667	-11.9	"MO"	"1452491"	"A. Gentry"	"Peru"	"Madre de Dios"	NA	"Trails 4, 5 and 9, Cashu Cocha Camp, Manu National Park."	21	10	1979	"Alwyn H. Gentry|James Aronson|Ramón Ramírez Catauga"	"Gentry 27075"	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-78.63333	-4.5	"MO"	"910332"	"A. Gentry (MO)"	"Peru"	"Amazonas"	"Condorcanqui"	"Río Cenepa.  Vicinity of Huampami, ca. 5 km. east of Chávez Valdívia. Chigkan entsa.  Al lado de su casa de Unísum.  En bosque secundario."	14	8	1978	"Ernesto Ancuash Atsut"	"Ancuash Atsut 1489"	NA	"gbif"	"fora polígono limite"
"Cavanillesia arborea (Willd.) K.Schum."	-74.14	-9.1839	"Botany"	NA	NA	"Peru"	NA	NA	NA	NA	NA	1778	"H. Ru<U+FFFD>z L. & J. A. Pav<U+FFFD>n"	NA	NA	"gbif"	"fora polígono limite"
"Cavanillesia umbellata Ruiz & Pav."	-74.375627	-9.163761	"BOT"	"BM000645684"	NA	"Peru"	NA	NA	NA	NA	NA	NA	"José Antonio Pavón; b.1754; d.1844; Pav."	"s.n."	NA	"gbif"	"fora polígono limite"
"Cavanillesia arborea (Willd.) K.Schum."	-30.083333	-12.533333	"HUEFS"	"832"	NA	"Brazil"	"Bahia"	NA	NA	NA	11	1980	"Grupo Pedra do Cavalo"	"925"	NA	"gbif"	"fora polígono limite"
"Cavanillesia arborea (Willd.) K.Schum."	-74.14	-9.1839	"Botany"	NA	NA	"Peru"	NA	NA	NA	NA	NA	1778	"H. Ru<U+FFFD>z L. & J. A. Pav<U+FFFD>n"	NA	NA	"gbif"	"fora polígono limite"
