"scientificname"	"longitude"	"latitude"	"collectioncode"	"catalognumber"	"identifiedby"	"country"	"stateprovince"	"county"	"locality"	"daycollected"	"monthcollected"	"yearcollected"	"collector"	"collectornumber"	"notes"	"source"	"remove.type"
"Cavanillesia arborea K.Schum."	NA	NA	"RB"	"336742"	"J. Teixeira"	"Brasil"	"Goi<e1>s"	"Guarani de Goi<e1>s"	"Km 16 da estrada Posse/ Guarani de Goi<e1>s. "	13	8	1995	"Pereira, B.A.S."	"2819"	"<c1>rvore decidua, 18 m alt. frutos imaturos coor verde-amarelado."	"jabot"	"lat. NA"
"Cavanillesia arborea K.Schum."	NA	NA	"RB"	"330969"	"B.A. S. Pereira"	"Brasil"	"Goi<e1>s"	"Guarani de Goi<e1>s"	"Prox<ed>mo <e1> Vila Clarentina. . "	4	7	1996	"Pereira, B.A.S."	"3121"	"<c0>rvore dec<ed>dua, ca. 20m alt. Tronco espesso, em forma de tonel. Corola alva ; c<e1>lice avaermelhado. "	"jabot"	"lat. NA"
"Cavanillesia arborea K.Schum."	NA	NA	"RB"	"284152"	"J. Teixeira"	"Brasil"	"Goi<e1>s"	""	"A margem da BR- 020, 10 km ap<f3>s a cidade de Alvorada do Norte. "	8	10	1988	"Pereira, B.A.S."	NA	"<c1>rvore ca. 12m de alt. com grande protuberancia no tronco, dec<ed>dua. Frutos quase maduros com sementes comidas por psitacideos."	"jabot"	"lat. NA"
"Cavanillesia arborea K.Schum."	NA	NA	"RB"	"603590"	"D.A. Folli"	"Brasil"	"Minas Gerais"	"Itueta"	"Estrada de Quatituba <e0> Taba<fa>ba. "	3	9	2009	"A.A. Luz"	"508"	"Arb<f3>rea, terrestre, bot<e3>o verde, flor branca, exuda<e7><e3>o incolor, descama<e7><e3>o ausente, fuste cil<ed>ndrico, casca <e1>spera, 15 m de altura, fuste com 3 m de altura e 150 cm de cap, copa com 10 m de di<e2>metro. Exuda<e7><e3>o: Seiva
"	"jabot"	"lat. NA"
"Cavanillesia arborea K.Schum."	NA	NA	"RB"	"255250"	"M. Nadruz"	"Brasil"	"Rio de Janeiro"	"Rio de Janeiro"	"Jardim Bot<e2>nico. "	7	10	1986	"Nadruz, M."	NA	"<c0>rvore, 15 m de alt. sem folhas, frutos grandes alaranjados, <e1>rvore n<U+00B0> 493 cultivado."	"jabot"	"lat. NA"
"Cavanillesia arborea K.Schum."	NA	NA	"RB"	"603531"	"D.A. Folli"	"Brasil"	"Esp<ed>rito Santo"	"Linhares"	"Fazenda Tr<ea>s Marias,  Beira Rio Linhares <e0> Colatina. "	1	11	2006	"Folli, D.A."	"5395"	"Arb<f3>rea, 30 m de altura, Terrestre, fruto maduro marrom, fruto imaturo verde, exuda<e7><e3>o incolor, descama<e7><e3>o ausente, fuste cil<ed>ndrico, casca <e1>spera, fuste com 20 m de altura, copa com 5 m de di<e2>metro. Exuda<e7><e3>o: Seiva"	"jabot"	"lat. NA"
"Cavanillesia arborea K.Schum."	NA	NA	"RB"	"363683"	"B.A. S. Pereira"	"Brasil"	"Goi<e1>s"	"Posse"	"No km 15 da estrada Posse / Guarani de Goi<e1>s. "	13	8	1995	"Pereira, B.A.S."	NA	"<c0>rvore dec<ed>dua ca. 20m alt. Tronco muito espesso e bojudo. Flores alvas "	"jabot"	"lat. NA"
"Cavanillesia arborea K.Schum."	NA	NA	"RB"	"292628"	""	"Brasil"	"Rio de Janeiro"	"Rio de Janeiro"	"Jardim Bot<e2>nico do Rio de Janeiro, canteiro 26 a, plaqueta sumida. Placa antiga 4297. Jardim Bot<e2>nico do Rio de Janeiro"	9	8	1991	"Fontella, J."	NA	"<c1>rvore de 20 m alt. flores em bot<e3>o."	"jabot"	"lat. NA"
"Cavanillesia arborea K.Schum."	NA	NA	"RB"	"613198"	"D.A. Folli"	"Brasil"	"Esp<ed>rito Santo"	"Linhares"	"Linhares a Colatina Beira Rio. "	13	8	2013	"Folli, D.A."	"7103"	"Terrestre; porte arb<f3>reo, 23,0m, fuste 16m, CAP 310cm, copa 10m; bot<e3>o marrom, flor branca; exsuda<e7><e3>o incolor"	"jabot"	"lat. NA"
"Cavanillesia arborea K.Schum."	NA	NA	"RBcarpo"	"7065"	""	"Brasil"	"Rio de Janeiro"	""	"Jardim Bot<e2>nico do Rio de Janeiro. "	NA	NA	NA	"Laborat<f3>rio de Sementes"	NA	""	"jabot"	"lat. NA"
"Cavanillesia arborea K.Schum."	NA	NA	"RB"	"473422"	"Gilmar E. Valente"	"Brasil"	"Minas Gerais"	"Vi<e7>osa"	"Campus da UFV; Horto. "	30	11	2007	"Gilmar E. Valente"	"1976"	"<c1>rvore com ca. 12 m de altura. Dia 22/08/2007 totalmente desprovida de folhas. Infloresc<ea>ncia concentrada no <e1>pice dos ramos com flores de c<e1>lice ferruginoso, corola branca, estilete branco e filetes brancos com base rosada. Em 15/10/2007, continua desprovida de folhas, com frutos penta-alados rosados e em 30/11/2007 coleta do ramo com folhas e est<ed>pulas. "	"jabot"	"lat. NA"
"Cavanillesia arborea K.Schum."	NA	NA	"RBcarpo"	"3950"	""	"Brasil"	"Esp<ed>rito Santo"	"Pendanga"	"Proc. Est. pdro Palacios. E.F.V.M. "	29	10	1949	"Vieira, J.N."	NA	""	"jabot"	"lat. NA"
"Cavanillesia arborea K.Schum."	NA	NA	"RB"	"312684"	"B.A. S. Pereira"	"Brasil"	"Tocantins"	"Taguatinga"	"Km 71 da estrada Campos Belos (GO)/Taguatinga (TO). "	13	9	1991	"Pereira, B.A.S."	NA	"<c1>rvore grossa, dec<ed>dua, aroma de ac<fa>leos, denominada barriguda por ter grande protuberancia no troco. frutos maduros de cor pardacenta. "	"jabot"	"lat. NA"
"Cavanillesia arborea K.Schum."	NA	NA	"RB"	"613200"	"D.A. Folli"	"Brasil"	"Minas Gerais"	"Itueta"	"Itueta <e1> Quantituba. "	7	11	2007	"Folli, D.A."	"5762"	"Terrestre; porte arb<f3>reo, 15,0m, fuste 9, CAP 128cm, copa 5m; fruto imaturo marrom, maduro marrom; exsuda<e7><e3>o incolor; descama<e7><e3>o ausente"	"jabot"	"lat. NA"
"Cavanillesia arborea K.Schum."	NA	NA	"RB"	"90037"	"J. G. kuhlmann"	"Brasil"	"Esp<ed>rito Santo"	"Nova Ven<e9>cia"	". "	16	11	1953	"Mattos f., A."	NA	"<c1>rvore pequena"	"jabot"	"lat. NA"
"Cavanillesia arborea (Willd.) K.Schum."	NA	NA	"RB"	"658151"	"J.R.Mattos e M. Nadruz"	"Brasil"	"Rio de Janeiro"	""	"Canteiro 39A, JBRJ
Tombo:7637
Jardim Bot<e2>nico do Rio de Janeiro "	NA	8	NA	"Mattos, J.R."	NA	"Ramos cil<ed>ndricos e glabros e tronco liso. Folhas alternas, sem presen<e7>a de est<ed>pula, de pec<ed>olo glabro, l<e2>mina foliar simples ovada com margem inteira. Flores com s<e9>palas amarronzadas, p<e9>talas cor de creme com anteras amareladas, fruto piloso rosado."	"jabot"	"lat. NA"
"Cavanillesia arborea"	0	0	"BCTW"	"19506"	""	"Brasil"	"Minas Gerais"	"Itacarambi"	""	NA	NA	NA	""	""	"enviado por Harri em 11/1994"	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"BAH"	"3499"	"Scardino, Noblick, Paranhos, Guedes, C. Queiroz, Paganucci, Nascimento, N. Suely, Quaglia."	"Brasil"	"Bahia"	"Cachoeira"	"Esta<e7><e3>o da Mata (Bananeiras)."	NA	10	1980	"Go. Pedra do Cavalo"	"801"	"<c1>rvore de 15-20 m de altura e com tronco abaulado, flores e bot<f5>es vermelho-alaranjados."	"splink"	"lat. 0"
"Cavanillesia umbellata"	0	0	"HPL"	"4291"	"V.C. Souza"	"Brasil"	"BA"	"Ibotirama"	"Coletada na estrada para Barreiras."	18	8	1994	"H. Lorenzi"	"1601"	""	"splink"	"lat. 0"
"Cavanillesia umbellata"	0	0	"HPL"	"4292"	"V.C. Souza"	"Brasil"	"MG"	"Janu<e1>ria"	"Coletada na fazenda Santa cec<ed>lia de Sebasti<e3>o Mentans."	18	8	1994	"H. Lorenzi"	"1649"	""	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"CEPEC"	"3067"	"J. A. Kallunki"	"Brasil"	"Bahia"	"JUSSAR<cd>"	""	24	7	1967	"R. S. Pinheiro"	"135"	"Ambiente: Mata Higrofila. Habito: <c1>rvore maior que 20m e menor que 50m"	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"CEPEC"	"7099"	"T. S. dos Santos"	"Brasil"	"Bahia"	"ITAPEB<cd>"	"Faz. Ventania Estr. velha ao Rio Jequitinhonha."	17	8	1971	"T. S. dos Santos"	"1856"	"Ambiente: Mata Higrofila. Habito: <c1>rvore maior que 5m e menor 20m"	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"CEPEC"	"81031"	"M. L. Guedes"	"Brasil"	"Bahia"	"feira de santana"	"prox. a cidade. Faz. Havana."	NA	NA	NA	"M. L. Guedes"	"6236"	"Ambiente: Area de transi<e7>ao c/ pastagem. Habito: <c1>rvore maior que 5m e menor 20m"	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"HMC"	"1969"	"Santos R.M."	"Brasil"	"Minas Gerais"	"Janu<e1>ria"	"APA do Rio Pandeiros"	16	8	2009	"Menino, G.C.O.; Braga, L.L.; Coutinho,C.A.; Oliveira, M.H.; Silva, W.A.;"	""	"Ilha 5"	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"HMC"	"3585"	""	"Brasil"	"Minas Gerais"	"januaria"	""	NA	NA	NA	"Estagiarios LEPV"	""	"pandeiros mata seca"	"splink"	"lat. 0"
