sp	long	lat
T_nigriceps	-64.4554406	-31.118675
T_nigriceps	-55.435	-30.983
T_nigriceps	-64.4979858	-30.9805917
T_nigriceps	-64.4979858	-30.9805917
T_nigriceps	-64.4979858	-30.9805917
T_nigriceps	-64.599148	-30.9643622
T_nigriceps	-64.599148	-30.9643622
T_nigriceps	-63.9333333	-30.0833333
T_nigriceps	-63.9333333	-30.0833333
T_nigriceps	-52.010361	-29.5054103
T_nigriceps	-50.1749146	-29.481018
T_nigriceps	-50.173787	-29.480109
T_nigriceps	-50.173787	-29.480109
T_nigriceps	-50.6112843	-29.4428621
T_nigriceps	-50.6112843	-29.4428621
T_nigriceps	-50.5802276	-29.4428074
T_nigriceps	-50.6131124	-29.4410987
T_nigriceps	-50.6100655	-29.4404945
T_nigriceps	-50.5772245	-29.4367129
T_nigriceps	-50.3867683	-29.4238507
T_nigriceps	-50.3867683	-29.4238507
T_nigriceps	-50.3867683	-29.4238507
T_nigriceps	-50.846096	-29.391748
T_nigriceps	-50.4711914	-29.3678144
T_nigriceps	-50.6188202	-29.3422047
T_nigriceps	-50.4908359	-29.1966207
T_nigriceps	-50.1879233	-29.1930395
T_nigriceps	-66.8031836	-29.1807539
T_nigriceps	-50.1491976	-29.1775628
T_nigriceps	-50.1491976	-29.1775628
T_nigriceps	-50.1187706	-29.0879218
T_nigriceps	-50.1187706	-29.0879218
T_nigriceps	-49.997406	-29.0777756
T_nigriceps	-49.997406	-29.0777756
T_nigriceps	-49.997406	-29.0777756
T_nigriceps	-49.997406	-29.0777756
T_nigriceps	-49.997406	-29.0777756
T_nigriceps	-50.5051804	-28.9717032
T_nigriceps	-50.4627478	-28.9467266
T_nigriceps	-51.3979053	-28.8544468
T_nigriceps	-66.0099792	-28.7210215
T_nigriceps	-49.6562558	-28.5656307
T_nigriceps	-49.5886159	-28.5533897
T_nigriceps	-49.5886159	-28.5533897
T_nigriceps	-49.869112	-28.487328
T_nigriceps	-50.3334332	-28.485868
T_nigriceps	-50.0280905	-28.4501763
T_nigriceps	-50.49546	-28.433569
T_nigriceps	-50.674181	-28.3889086
T_nigriceps	-54.3762088	-28.277059
T_nigriceps	-52.4882126	-28.2747536
T_nigriceps	-52.4882126	-28.2747536
T_nigriceps	-50.7640886	-28.2277389
T_nigriceps	-50.7152081	-28.2060681
T_nigriceps	-50.6408358	-28.197421
T_nigriceps	-50.640827	-28.1829607
T_nigriceps	-50.640827	-28.1829607
T_nigriceps	-49.636667	-28.160833
T_nigriceps	-49.636667	-28.160833
T_nigriceps	-49.636667	-28.160833
T_nigriceps	-49.641667	-28.153056
T_nigriceps	-49.618889	-28.1525
T_nigriceps	-49.6117258	-28.0721318
T_nigriceps	-65.5784655	-28.0681936
T_nigriceps	-65.9004593	-28.0660608
T_nigriceps	-49.4880787	-28.0605001
T_nigriceps	-49.8734343	-28.0452775
T_nigriceps	-49.8734343	-28.0452775
T_nigriceps	-50.8331394	-27.9983423
T_nigriceps	-49.9341515	-27.9512914
T_nigriceps	-49.9341515	-27.9512914
T_nigriceps	-49.8513771	-27.9297126
T_nigriceps	-49.8566008	-27.9245023
T_nigriceps	-49.8566008	-27.9245023
T_nigriceps	-49.8566008	-27.9245023
T_nigriceps	-49.8566008	-27.9245023
T_nigriceps	-49.8566008	-27.9245023
T_nigriceps	-49.4059467	-27.8979561
T_nigriceps	-48.7986088	-27.7728738
T_nigriceps	-48.5341161	-27.7052445
T_nigriceps	-48.5104084	-27.5974101
T_nigriceps	-50.823117	-27.4904905
T_nigriceps	-50.823117	-27.4904905
T_nigriceps	-50.978893	-27.4902555
T_nigriceps	-50.7587286	-27.4022879
T_nigriceps	-50.7587286	-27.4022879
T_nigriceps	-65.9341693	-27.2892652
T_nigriceps	-54.2013931	-27.2845359
T_nigriceps	-55.5318117	-27.2552018
T_nigriceps	-65.7	-27.2
T_nigriceps	-65.7	-27.2
T_nigriceps	-55.748	-27.158
T_nigriceps	-54.9519986	-27.0881484
T_nigriceps	-54.9519986	-27.0881484
T_nigriceps	-65.6711733	-27.0561639
T_nigriceps	-65.6617432	-27.0283718
T_nigriceps	-65.6617432	-27.0283718
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.659748	-27.021381
T_nigriceps	-65.7519239	-27.0016747
T_nigriceps	-65.7519239	-27.0016747
T_nigriceps	-65.7519239	-27.0016747
T_nigriceps	-65.6628907	-26.9957333
T_nigriceps	-65.6635237	-26.9937162
T_nigriceps	-65.6621289	-26.9882764
T_nigriceps	-65.6621289	-26.9882764
T_nigriceps	-65.6638	-26.9845
T_nigriceps	-65.6605625	-26.9766911
T_nigriceps	-65.7674033	-26.9628858
T_nigriceps	-65.7674033	-26.9628858
T_nigriceps	-65.7674033	-26.9628858
T_nigriceps	-65.6851959	-26.9161005
T_nigriceps	-65.4302992	-26.8560832
T_nigriceps	-65.7	-26.85
T_nigriceps	-65.7	-26.85
T_nigriceps	-65.7	-26.85
T_nigriceps	-65.186305	-26.8287021
T_nigriceps	-55.002974	-26.820409
T_nigriceps	-65.3289771	-26.7919346
T_nigriceps	-65.3262917	-26.7748694
T_nigriceps	-65.3275609	-26.7733536
T_nigriceps	-65.3275609	-26.7733536
T_nigriceps	-65.3275609	-26.7733536
T_nigriceps	-65.3275609	-26.7733536
T_nigriceps	-65.3275609	-26.7733536
T_nigriceps	-65.3275609	-26.7733536
T_nigriceps	-65.3275609	-26.7733536
T_nigriceps	-65.3275609	-26.7733536
T_nigriceps	-65.3275609	-26.7733536
T_nigriceps	-65.3275609	-26.7733536
T_nigriceps	-65.3275609	-26.7733536
T_nigriceps	-65.3275609	-26.7733536
T_nigriceps	-65.3275609	-26.7733536
T_nigriceps	-65.3275609	-26.7733536
T_nigriceps	-65.3553861	-26.7717826
T_nigriceps	-65.475221	-26.7675815
T_nigriceps	-49.16605	-26.759804
T_nigriceps	-49.16605	-26.759804
T_nigriceps	-49.6097517	-26.74083
T_nigriceps	-65.7717133	-26.7398616
T_nigriceps	-53.9816667	-26.5207167
T_nigriceps	-53.9816667	-26.5207167
T_nigriceps	-55.8	-26.43
T_nigriceps	-55.8	-26.43
T_nigriceps	-55.8	-26.43
T_nigriceps	-52.4048495	-26.3908702
T_nigriceps	-53.2751888	-26.3504212
T_nigriceps	-53.2751888	-26.3504212
T_nigriceps	-48.5592699	-26.2823336
T_nigriceps	-55.7666667	-26.2333333
T_nigriceps	-49.0974069	-26.2247164
T_nigriceps	-56.8	-26.08
T_nigriceps	-65.9765911	-26.0725116
T_nigriceps	-53.9725471	-25.8700072
T_nigriceps	-53.9725471	-25.8700072
T_nigriceps	-53.9725471	-25.8700072
T_nigriceps	-53.9594579	-25.8598221
T_nigriceps	-53.9594579	-25.8598221
T_nigriceps	-53.9594579	-25.8598221
T_nigriceps	-53.9594579	-25.8598221
T_nigriceps	-53.9594579	-25.8598221
T_nigriceps	-64.9254227	-25.8579878
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-54.1687833	-25.8573167
T_nigriceps	-53.9759858	-25.8572992
T_nigriceps	-53.9759858	-25.8572992
T_nigriceps	-53.9759858	-25.8572992
T_nigriceps	-54.85	-25.85
T_nigriceps	-53.9645	-25.8418333
T_nigriceps	-54.1691667	-25.8352778
T_nigriceps	-53.8771667	-25.8281667
T_nigriceps	-54.0143654	-25.8095115
T_nigriceps	-65.0774908	-25.8029358
T_nigriceps	-65.0630536	-25.7827566
T_nigriceps	-65.0630536	-25.7827566
T_nigriceps	-65.06322	-25.781037
T_nigriceps	-65.0632935	-25.7809056
T_nigriceps	-65.0632935	-25.7809056
T_nigriceps	-57.2387695	-25.7751606
T_nigriceps	-65.0372779	-25.7628798
T_nigriceps	-65.0373673	-25.7628053
T_nigriceps	-65.1401898	-25.7616383
T_nigriceps	-65.1401898	-25.7616383
T_nigriceps	-65.1401898	-25.7616383
T_nigriceps	-65.1401898	-25.7616383
T_nigriceps	-65.0368065	-25.7611499
T_nigriceps	-65.0368919	-25.7610625
T_nigriceps	-54.94	-25.76
T_nigriceps	-65.1407992	-25.7592821
T_nigriceps	-65.1407992	-25.7592821
T_nigriceps	-65.1407992	-25.7592821
T_nigriceps	-65.1407992	-25.7592821
T_nigriceps	-65.139935	-25.7542383
T_nigriceps	-65.139935	-25.7542383
T_nigriceps	-65.1404178	-25.7539058
T_nigriceps	-65.1403657	-25.7539003
T_nigriceps	-65.1403657	-25.7539003
T_nigriceps	-65.1403657	-25.7539003
T_nigriceps	-65.1401069	-25.7531494
T_nigriceps	-65.1401069	-25.7531494
T_nigriceps	-65.1401069	-25.7531494
T_nigriceps	-65.1401069	-25.7531494
T_nigriceps	-65.1260948	-25.738055
T_nigriceps	-65.1260948	-25.738055
T_nigriceps	-65.1260948	-25.738055
T_nigriceps	-65.1260948	-25.738055
T_nigriceps	-65.1260948	-25.738055
T_nigriceps	-65.1260948	-25.738055
T_nigriceps	-65.1260948	-25.738055
T_nigriceps	-65.1260948	-25.738055
T_nigriceps	-65.1260948	-25.738055
T_nigriceps	-65.1260948	-25.738055
T_nigriceps	-65.1260948	-25.738055
T_nigriceps	-65.1260948	-25.738055
T_nigriceps	-65.1269906	-25.7374477
T_nigriceps	-65.1269906	-25.7374477
T_nigriceps	-54.455452	-25.6833032
T_nigriceps	-54.455452	-25.6833032
T_nigriceps	-54.455452	-25.6833032
T_nigriceps	-54.455452	-25.6833032
T_nigriceps	-54.455452	-25.6833032
T_nigriceps	-54.4384146	-25.6808279
T_nigriceps	-54.4384146	-25.6808279
T_nigriceps	-54.4384146	-25.6808279
T_nigriceps	-54.4197035	-25.6762254
T_nigriceps	-54.599	-25.649
T_nigriceps	-54.4857717	-25.6133381
T_nigriceps	-54.5740206	-25.5986648
T_nigriceps	-54.5740206	-25.5986648
T_nigriceps	-48.8136292	-25.4767526
T_nigriceps	-49.55426	-25.46585
T_nigriceps	-66.25	-25.45
T_nigriceps	-49.2865212	-25.4053818
T_nigriceps	-49.1369963	-25.3885739
T_nigriceps	-49.1369963	-25.3885739
T_nigriceps	-57.6338267	-25.3675856
T_nigriceps	-54.58	-25.36
T_nigriceps	-49.4665861	-25.355118
T_nigriceps	-49.4665861	-25.355118
T_nigriceps	-48.913786	-25.331142
T_nigriceps	-48.9773726	-25.3147399
T_nigriceps	-65.921	-25.2778333
T_nigriceps	-64.7317832	-25.2730232
T_nigriceps	-64.6809769	-25.2682942
T_nigriceps	-64.6809769	-25.2682942
T_nigriceps	-64.6809769	-25.2682942
T_nigriceps	-64.8568	-25.2313
T_nigriceps	-54.51	-25.2
T_nigriceps	-66.1571667	-25.1183333
T_nigriceps	-54.65	-25.0333333
T_nigriceps	-65.3788	-24.7656
T_nigriceps	-65.5059385	-24.7326153
T_nigriceps	-65.5059385	-24.7326153
T_nigriceps	-65.5059385	-24.7326153
T_nigriceps	-65.5059385	-24.7326153
T_nigriceps	-65.5055416	-24.7325854
T_nigriceps	-65.5078736	-24.7224423
T_nigriceps	-65.5078736	-24.7224423
T_nigriceps	-65.4894805	-24.7139327
T_nigriceps	-65.4894805	-24.7139327
T_nigriceps	-52.1475506	-24.7044201
T_nigriceps	-52.1475506	-24.7044201
T_nigriceps	-52.1475506	-24.7044201
T_nigriceps	-52.1475506	-24.7044201
T_nigriceps	-52.1475506	-24.7044201
T_nigriceps	-52.1475506	-24.7044201
T_nigriceps	-52.1475506	-24.7044201
T_nigriceps	-65.3864729	-24.699761
T_nigriceps	-65.3864729	-24.699761
T_nigriceps	-65.3864729	-24.699761
T_nigriceps	-65.3864729	-24.699761
T_nigriceps	-65.3864729	-24.699761
T_nigriceps	-65.3864729	-24.699761
T_nigriceps	-65.4745235	-24.699515
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-64.6356239	-24.6931288
T_nigriceps	-65.3	-24.6833333
T_nigriceps	-65.3	-24.6833333
T_nigriceps	-65.3	-24.6833333
T_nigriceps	-65.4822063	-24.6574702
T_nigriceps	-65.4822063	-24.6574702
T_nigriceps	-65.4856667	-24.6343333
T_nigriceps	-65.4856667	-24.6343333
T_nigriceps	-65.4856667	-24.6343333
T_nigriceps	-65.4856667	-24.6343333
T_nigriceps	-65.4856667	-24.6343333
T_nigriceps	-65.4856667	-24.6343333
T_nigriceps	-65.4856667	-24.6343333
T_nigriceps	-65.4856667	-24.6343333
T_nigriceps	-65.483648	-24.629552
T_nigriceps	-65.4820776	-24.6204958
T_nigriceps	-65.4820776	-24.6204958
T_nigriceps	-65.3670645	-24.5767875
T_nigriceps	-65.3738022	-24.5521198
T_nigriceps	-65.3667212	-24.5485779
T_nigriceps	-65.358814	-24.5269396
T_nigriceps	-65.3499729	-24.5191951
T_nigriceps	-65.3499729	-24.5191951
T_nigriceps	-65.345273	-24.5109775
T_nigriceps	-65.345273	-24.5109775
T_nigriceps	-65.3415728	-24.5106186
T_nigriceps	-65.3415728	-24.5106186
T_nigriceps	-65.3415728	-24.5106186
T_nigriceps	-65.3415728	-24.5106186
T_nigriceps	-65.3415728	-24.5106186
T_nigriceps	-65.337654	-24.510557
T_nigriceps	-65.337654	-24.510557
T_nigriceps	-65.337654	-24.510557
T_nigriceps	-65.337654	-24.510557
T_nigriceps	-65.3379411	-24.5100152
T_nigriceps	-65.3344917	-24.5095279
T_nigriceps	-65.3344917	-24.5095279
T_nigriceps	-65.3344917	-24.5095279
T_nigriceps	-65.3344917	-24.5095279
T_nigriceps	-65.335372	-24.506264
T_nigriceps	-65.335372	-24.506264
T_nigriceps	-65.335372	-24.506264
T_nigriceps	-65.335372	-24.506264
T_nigriceps	-65.3146219	-24.5055032
T_nigriceps	-65.3146219	-24.5055032
T_nigriceps	-65.3146219	-24.5055032
T_nigriceps	-65.3146219	-24.5055032
T_nigriceps	-65.3146219	-24.5055032
T_nigriceps	-65.3146219	-24.5055032
T_nigriceps	-65.3146219	-24.5055032
T_nigriceps	-65.3146219	-24.5055032
T_nigriceps	-65.3146219	-24.5055032
