"scientificname";"longitude";"latitude";"collectioncode";"catalognumber";"identifiedby";"country";"stateprovince";"county";"locality";"daycollected";"monthcollected";"yearcollected";"collector";"collectornumber";"notes";"source"
"Aralia warmingiana";-46.993611;-18.944722;"SPFW";"554";"P. Fiaschi 2012";"Brasil";"Minas Gerais";"PatrocÌnio";"Serra do Salitre";1;1;1994;"Ceccantini, G.C.T.";"315";"";"splink"
"Aralia warmingiana";0;0;"ESA";"ESA096201";"Lovato, M.C.";"Brasil";"Paran·";"Primeiro de Maio";"";3;4;2001;"Pav„o, O.C. et al.";"";"";"splink"
"Aralia warmingiana";0;0;"ESA";"ESA110074";"";"Brasil";"S„o Paulo";"G·lia";"";NA;NA;NA;"Toniato, M.T.Z. ; Barreto, T.E.";"70";"";"splink"
"Aralia warmingiana";0;0;"MBM";"157192";"Sobral, M";"Brazil";"Paran·";"Pinh„o";"Reserva Rio dos Touros";9;11;1991;"Tramujas, AP";"549";"";"splink"
"Aralia warmingiana";-46.53;-13.80333;"CEN";"41685";"P. Fiaschi";"Brasil";"GO";"GUARANI DE GOIAS";"Fazenda Forquilha. (Mata 3). Prop. Sr. Vigilato Francisco Neto.";NA;NA;NA;"Marina de Lourdes Fonseca Resende";"2947";"¡rvore heliÛfito. Folhas discolores verde. C·lice verde, flores, botıes e estames alvos. (Linha 2, parcela 15, ·rvore 305). DoaÁ„o do Herb·rio IBGE - Reserva EcolÛgica do IBGE. Plantas do Brasil - Goi·s.";"splink"
"Aralia warmingiana";0;0;"HUFU";"23122";"Soares-Silva, L.H.";"Brasil";"Paran·";"Londrina";"Floresta Godoy-PrÛximo parc. 5 e14 da porÁ„o norte.";18;3;1994;"Silva, F.C. e";"1682";"DESC:¡rvore, ca. 30 m. Bot„o floral e flores creme.;";"splink"
"Aralia warmingiana";-53.3775;-26.471944;"FURB";"20629";"Stival-Santos, A";"Brasil";"Santa Catarina";"Palma Sola";"Escondida";13;5;2009;"Stival-Santos, A; Schmitt, J; Silveira, S";"1524";"Fito IFFSC 6005 /L/10";"splink"
"Aralia warmingiana";-49.516667;-19.916667;"HRCB";"39355";"Mendoza, M.";"Brasil";"S„o Paulo";"Paulo de Faria";"EstaÁ„o EcolÛgica de Paulo de Faria";20;11;2001;"Tomasetto, F.";"198";"¡rvore ca. 20m, botıes creme, interior da mata.";"splink"
"Aralia warmingiana";-40.304167;-20.276667;"VIES";"758";"";"Brasil";"EspÌrito Santo";"VitÛria";"Campus da UFES - Goiabeiras, Floresta de Tabuleiro.";6;5;1985;"Vinha, P.C.";"s.n.";"¡rvore com 5 m de altura. Flor alva.";"splink"
"Aralia warmingiana";0;0;"HDCF";"6040";"Longhi, S. J.";"Brasil";"Rio Grande do Sul";"Frederico Westphalen";"";10;10;2007;"Scipioni, M. C.; Meyer, E. A.";"s.n.";"Ocorre na Floresta do Alto Uruguai e eventualmente na Floresta da Encosta meridional do Planalto";"splink"
