datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes
"2017-01-06 17:50:22-02"	UEFS	HUEFS	176843	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		"(Willd.) K.Schum."						3084		"Sevilha, A.C."	2003	08	25				Brasil	Goiás	"Alvorada do Norte"	"Fazenda Itú, (Sr. Felipe). Ponto 3."	-46.723889	-14.539167					491	491									"Cerrado (Floresta Estacional Decidual)."
"2017-01-06 17:50:22-02"	UEFS	HUEFS	24143	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		K.Schum.						713		"Cavalcanti, T.B."	1990	08	16				Brasil	Goiás	"Campos Belos"		0	0	-46.7717	-13.0367	70364		600	600									
"2017-01-06 17:50:22-02"	UEFS	HUEFS	6735	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		K.Schum.						1035		"Queiroz, L.P.de"	1986	11	13				Brasil	Bahia	"Feira de Santana"		-39.183333	-12.166667					1	1									
"2017-01-06 17:50:22-02"	UEFS	HUEFS	72759	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		K.Schum.	"J.G.de Carvalho-Sobrinho"	2003	11			301		"Leite, K.R.B"	2003	07	17				Brasil	Bahia	"São Félix do Coribe"	"2 km na estrada para Lagoinha."	-44.178889	-13.421389					474	474									"Área de transição cerrado-caatinga"
"2017-01-06 17:50:22-02"	UEFS	HUEFS	94359	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		K.Schum.	R.M.Santos	2007	08			475		"Carvalho-Sobrinho, J.G.de"	2005	04	06				Brasil	Bahia	"São Desidério"	"BR 135, em direção à Inhaúmas."	-44.953333	-12.378889					570	570									"Mata semidecidual (cerrado) com Cavanilesia, Pseudobombax."
"2017-01-06 17:50:22-02"	UEFS	HUEFS	171799	"Cavanillesia umbellata"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	umbellata		"Ruiz & Pav."						2959		"Carvalho-Sobrinho, J.G.de"	2011	03	11				Brasil	Bahia	"Contendas do Sincorá"	"estrada de terra para a Faz. Vargem Grande, saindo da rodovia Contendas do Sincorá-Anagé."	-41.063611	-13.929167					300	300									Caatinga.
"2017-01-06 17:50:22-02"	UEFS	HUEFS	171808	"Cavanillesia umbellata"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	umbellata		"Ruiz & Pav."						2968		"Carvalho-Sobrinho, J.G.de"	2011	03	13				Brasil	Bahia	Brumado	"estrada para Sussuarana, ca. 15km do entroncamento."	-41.535278	-14.162222					430	430									Caatinga.
"2017-01-06 17:50:22-02"	UEFS	HUEFS	171827	"Cavanillesia umbellata"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	umbellata		"Ruiz & Pav."						2987		"Carvalho-Sobrinho, J.G.de"	2011	03	15				Brasil	Bahia	Santana	"localidade de Porto Novo, 8km da vila em direção a Santana."	0	0	-44.0511	-12.9833	49190												"Caatinga sobre afloramentos calcários."
"2017-01-06 17:50:22-02"	UEFS	HUEFS	175720	"Cavanillesia umbellata"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	umbellata		"Ruiz & Pav."						3178		"Carvalho-Sobrinho, J.G.de"	2011	07	16				Brasil	Bahia	Anagé	"estrada para a barragem."	-41.168333	-14.6375					400	400									"Caatinga arbórea."
"2017-01-06 17:50:22-02"	UEFS	HUEFS	176071	"Cavanillesia umbellata"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	umbellata		"Ruiz & Pav."						3199		"Carvalho-Sobrinho, J.G.de"	2011	08	04				Brasil	"Rio de Janeiro"	"São Pedro da Aldeia"	"rodovia para Cabo Frio."	-42.0725	-22.76					13	13									"Fragmento de mata estacional na beira da estrada, com Cavanillesia, Ceiba e muitas Bignoniaceae lianescentes"
"2017-01-06 17:50:22-02"	UEFS	HUEFS	195680	"Cavanillesia umbellata"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	umbellata		"Ruiz & Pav."						45		"Queiroz, A.S."	2013	05	13				Brasil	Bahia	"Feira de Santana"	"Fazenda Cruzeiro do Mocó."	-39.046944	-12.221389					211	211									
"2016-06-14 16:18:35-03"	UNICAMP	UEC	70238	"Cavanillesia arborea"	S	Plantae	Magnoliopsida			Bombacaceae	Cavanillesia	arborea		K.Schum.	"Pereira, B.A.S."	1994	09			2615		"Pereira, B.A.S."	1994	09	09				Brazil	Goiás	"Flores de Goiás"	"Testemunha de mata existente entre a cidade nova e a cidade velha. Mata decídua situada no Km 32 da estrada de terra.. Alvorada do Norte."	0	0	-47.0503	-14.4486	86423												"Árvore com cerca de 15 m de altura com tronco em forma de túnel. Casca muito espessa. Madeira rica em parênquima. Flores brancas."
"2016-06-14 16:18:35-03"	UNICAMP	UEC	73105	"Cavanillesia arborea"	S	Plantae	Magnoliopsida			Bombacaceae	Cavanillesia	arborea		K.Schum.						671		"Árbocz, G.F."	1994	08	19				Brazil	Bahia	"Bom Jesus da Lapa"	"Estrada para Ibotirama. Caatinga."	0	0	-43.4181	-13.255	66899												"Frutífero. Árvore de aproximadamente 25 - 30 m de altura. Fruto rosa. Estimativa de frutificação: agosto a outubro."
"2016-06-14 16:18:35-03"	UNICAMP	UEC	79338	"Cavanillesia arborea"	S	Plantae	Magnoliopsida			Bombacaceae	Cavanillesia	arborea		K.Schum.						659		"Árbocz, G.F."	1994	08	17				Brazil	"Minas Gerais"	Januária	"Fazenda Santa Cecília. Mata seca."	0	0	-44.3617	-15.4881	148972												"Material coletado: vegetativo. Florífero. Árvore de aproximadamente 25 - 30 m de altura, 1,0 m DAP. Tronco com desenhos em relevo. Sem folhas, apenas flores. Flores rosas. Estimativa de florescimento: julho e agosto."
"2014-10-23 13:46:25-02"	MBML	MBML-HERBARIO	1233	"Cavanillesia arborea"		Plantae				Bombacaceae	Cavanillesia	arborea								0		"G. Dalcolmo"	1953	11	21				Brasil	"Espírito Santo"	"Santa Teresa"	"São João de Petrópolis"	-40.678056	-19.814167															"Nome vulgar: barriguda."
"2014-10-23 13:46:25-02"	MBML	MBML-HERBARIO	27156	"Cavanillesia arborea"		Plantae				Bombacaceae	Cavanillesia	arborea			"V. Demuner & L.F.S. Magnago, 14-set-06"	2006	09	14		2884		"V. Demuner"	2006	09	14				Brasil	"Espírito Santo"	"Santa Leopoldina"	"Morro Agudo, Prop.: Dona Maria"	-40.431667	-20.093889					150	150									"Árvore 15m, fuste 9m, Dap 60cm, frutos marrom (barriguda). Interior de mata."
"2014-10-23 13:46:25-02"	MBML	MBML-HERBARIO	28319	"Cavanillesia arborea"		Plantae				Bombacaceae	Cavanillesia	arborea			"V. Demuner & L.F.S. Magnago, 17-out-06"	2006	10	17		2905		"V. Demuner"	2006	10	17				Brasil	"Espírito Santo"	"Águia Branca"	"16 de Abril"	-40.734722	-18.906944					150	150									"Árvore 20m, fuste 17m, DAP 1m, frutos marrom. Interior de mata alterada."
"2014-10-23 13:46:25-02"	MBML	MBML-HERBARIO	31618	"Cavanillesia arborea"		Plantae				Bombacaceae	Cavanillesia	arborea			"V. Demuner 30/08/2007"	2007	08	30		3370		"R.R. Vervloet"	2007	08	30				Brasil	"Espírito Santo"	"Santa Leopoldina"	"Colina Verde, Morro do Agudo, D. Maria"	-40.43	-20.095556					150	150									"Árvore 12m, frutos imaturos de cor verde avermelhados. Ambiente rupestre."
"2016-10-19 15:01:24-02"	MBML	MBML-HERBARIO	35647	"Cavanillesia umbellata"		Plantae				Bombacaceae	Cavanillesia	umbellata			"J.G. Carvalho Sobrinho/IX-2016"					7560		"A. M. Amorim"	2008	07	18				Brasil	"Espírito Santo"	"Nova Venécia"	"Área de Proteção Ambiental da Pedra do Elefante"	-40.443889	-18.776944															
