"issues" "scientificName" "decimalLongitude" "decimalLatitude" "collectionCode" "catalogNumber" "identifiedBy" "country" "stateProvince" "county" "locality" "day" "month" "year" "recordedBy" "recordNumber" "occurrenceRemarks"
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -49.516667 -19.916667 "HRCB" "39355" "Mendoza, M." "Brazil" "São Paulo" NA "Estação Ecológica de Paulo de Faria" 20 11 2001 "Tomasetto, F." "198" "Árvore ca. 20m, botões creme, interior da mata."
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Aralia warmingiana (Marchal) J.Wen" -54.205 -26.91638 "MO" "2409440" "Tressens, S. G., //" "Argentina" "Misiones" "Guaraní" "Predio Guaraní. Sendero CIFOR en selva" 27 4 1999 "Sara G. Tressens|Lidia I. Ferraro|H.A. Keller|Victor Maruñak|V. Revilla" "Tressens 6110" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Aralia warmingiana (Marchal) J.Wen" -60.75 -17.83333 "MO" "1152044" "M. Mendoza (USZ)" "Bolivia, Plurinational State of" "Santa Cruz" "Chiquitos" "San Juan de Chiquito. 40 km al Noreste de camino a Bocamina. con elementos de Anadenanthera colubrina; Schinopsis brasiliensis. suelos rojiso." 9 11 1997 "Fabiana Mamani M.|Antony Jardim" "Mamani M. 1164" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Aralia warmingiana (Marchal) J.Wen" -44.183333 -18.283333 "SPF" "111341" "Pirani, JR" "Brazil" "Minas Gerais" NA NA 3 4 1996 "Pirani, JR" "3734" NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -46.993611 -18.944722 "SPFW" "554" "P. Fiaschi 2012" "Brazil" "Minas Gerais" NA "Serra do Salitre" 1 1 1994 "Ceccantini, G.C.T." "315" NA
"IDENTIFIED_DATE_UNLIKELY" "Aralia warmingiana (Marchal) J.Wen" NA NA "BOTU" "27175" "Soares e Silva, L.H." "Brazil" "Paraná" NA NA 18 3 1994 "Chagas e Silva, F." "11379" "Árvore, 30 metros de altura; botão floral e flores creme; suber lenhoso, corte creme."
"IDENTIFIED_DATE_UNLIKELY" "Aralia warmingiana (Marchal) J.Wen" NA NA "HUFU" "23122" "Soares-Silva, L.H." "Brazil" "Paraná" NA "Floresta Godoy-Próximo parc. 5 e14 da porção norte." 18 3 1994 "Silva, F.C. e" "1682" "DESC:Árvore, ca. 30 m. Botão floral e flores creme.;"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "SPSF" "26004" NA "Brazil" "Pr" NA "Parque Estadual Mata dos Godoy" 3 3 1993 "L.H.Soares Silva & F.Chagas Silva" "307" "COLETA: XLS: SPSFAntigo;"
"" "Pentapanax warmingianus (Marchal) Harms" NA NA "HAS" "23780" NA "Brazil" "Rio Grande do Sul" NA "BR 116 - Km 65," NA 1 1988 "Nilson, A.D." "217" "Carobão, Paraparaí-guaçu; árvore; árvore; Em Perigo; Cerca de 12m de altura. Pouco numerosa."
"" "Pentapanax warmingianus (Marchal) Harms" NA NA "HAS" "23715" NA "Brazil" "Rio Grande do Sul" NA "Belvedere," NA 1 1987 "Nilson, A.D." "188" "Carobão, Paraparaí-guaçu; árvore; árvore; Em Perigo; Cerca de 15m de altura. Pouco numerosa."
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "Botany" "3266730" NA "Brazil" "Minas Gerais" NA "Pasmado (mun. Itaobim)." 14 6 1986 "G. Hatschbach & J. M. Silva" "50381" NA
"IDENTIFIED_DATE_UNLIKELY" "Pentapanax warmingianus (Marchal) Harms" NA NA "HAS" "68005" NA "Brazil" "Rio Grande do Sul" NA "Campo Bom," NA 11 1986 "Brack, P." "043" "Carobão, Paraparaí-guaçu; árvore; árvore; Em Perigo;"
"" "Pentapanax warmingianus (Marchal) Harms" NA NA "MO" "2492201" NA "Paraguay" "Alto Paraná" NA "Pto Stroessner" 22 1 1985 "L.C. Stutz" "Stutz de Ortega 2214" NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Pentapanax warmingianus (Marchal) Harms" -55 -25.5 "Geneva Herbarium – General Collection (G)" "G-G-27632/1" NA "Paraguay" NA NA "Departamento Alto Paraná -/Departamento del Alto Paraná" 1 2 1985 "Stutz de Ortega, L." NA NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "Botany" "3228282" NA "Paraguay" NA NA "Route, C.F.A.P., Pto Stroessner, km 12." 1 2 1985 "L. C. Stutz" "2280" NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -40.304167 -20.276667 "VIES" "758" NA "Brazil" "Espírito Santo" NA "Campus da UFES - Goiabeiras, Floresta de Tabuleiro." 6 5 1985 "Vinha, P.C." "s.n." "Árvore com 5 m de altura. Flor alva."
