"issues" "scientificName" "decimalLongitude" "decimalLatitude" "collectionCode" "catalogNumber" "identifiedBy" "country" "stateProvince" "county" "locality" "day" "month" "year" "recordedBy" "recordNumber" "occurrenceRemarks"
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -56.23 -28.21 "CTES-VASC" "561892" NA "Argentina" "Corrientes" "Santo Tomé" "Ea. Timbó, 15 km SE de Colonia Garabí." NA NA NA "Tressens, S. G." "1148" "En isleta de selva. Árbol de 10-15 m alt., tronco 37.57 cm de diam. Hojas A y B"
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -55.59 -27.44 "HERB" "51238" "-" "Argentina" "Misiones" "Candelaria" "Loreto" NA NA NA "Grübner, -" NA NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "HERB" "52706" "-" "Paraguay" "Cordillera" "-" "Montes Cerrito, San Bernardino" NA NA NA "Hassler, E." NA NA
"GEODETIC_DATUM_ASSUMED_WGS84,RECORDED_DATE_INVALID" "Pentapanax warmingianus (Marchal) Harms" -57 -26 "Geneva Herbarium – General Collection (G)" "G-G-109168/2" NA "Paraguay" NA NA "Departamento Paraguari/Departamento de Paraguarí" NA NA NA "Balansa, B." NA NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "CTES-VASC" "561894" "tronco de 1.40 m de circ.""" "Argentina" "Corrientes" "Ituzaingó" "Ruta 39, 10 km NW de ruta 14." NA NA NA "Tressens, S. G." "1100" """En isleta de selva. Arbol de 20 m alt"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "HERB" "178743" "-" "Brazil" "Minas Gerais" "-" "Lagoa Santa" NA NA NA "Warming, J. E. B." NA NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "P" "P03258231" NA NA NA NA NA NA NA NA NA NA NA
"RECORDED_DATE_INVALID" "Pentapanax ulei Harms" NA NA "Botany" "L.2573115" NA "Brazil" NA NA "Baum in der Catinga bei Tambury, Estado de Bahia." NA NA NA "Ule  EHG" NA NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "P" "P06773781" NA NA NA NA NA NA NA NA NA NA NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -54.21 -26.92 "HERB" "88312" "Tressens, S. G." "Argentina" "Misiones" "Guaraní" "Predio Guaraní. Sendero CIFOR en selva" NA NA NA "Tressens, S. G." NA NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "P" "P03258230" NA NA NA NA NA NA NA NA NA NA NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "HERB" "52703" "-" "Paraguay" "Amambay" "-" "Sierra de Amambay, in silvis Punta Porá" NA NA NA "Hassler, E." NA NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "HERB" "35218" "-" "Argentina" "Formosa" "-" "Guaycole?" NA NA NA "Jörgensen, P." NA NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "CTES-VASC" "561891" "tronco de 49 cm diám.""" "Argentina" "Corrientes" "Santo Tomé" "Ruta 38, 17 Km NW de ruta 14." NA NA NA "Tressens, S. G." "1225" """En isleta de selva. Arbol de 15 m alt"
"RECORDED_DATE_INVALID" "Aralia warmingiana (Marchal) J.Wen" NA NA "Herbarium" "K000588120" "Wen, J." NA NA NA "Posta-cué, près de Yaguaron" NA NA NA "Balansa, B." "3158" "En Guarani: Chino"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "HERB" "52702" "Stutz, L. C." "Paraguay" "Canindeyú" "-" "Salto del Guaira" NA NA NA "Bernardi, L." NA NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -58.5 -27.33 "CTES-VASC" "561895" NA "Argentina" "Corrientes" "San Cosme" "Ruta 12. 10 Km E del desvío a Paso de la Patria." NA NA NA "Tressens, S. G." "1040" "En isleta de selva, borde de ruta. Arbol de ca. 4 m de alt. Tronco blanquecino, recto. Hojas A, B y C"
"RECORDED_DATE_INVALID" "Aralia warmingiana (Marchal) J.Wen" NA NA "Herbarium" "K000442332" "Wen, J." "Brazil" NA NA "Estado de Bahia: Baum in der Catinga bei Tamburg." NA NA NA "Ule, E." "7073" NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "P" "P03258226" NA "Brazil" "Rio de Janeiro" NA NA NA NA NA "Glaziou, A." NA NA
"GEODETIC_DATUM_ASSUMED_WGS84,RECORDED_DATE_INVALID" "Pentapanax warmingianus (Marchal) Harms" -57 -26 "Geneva Herbarium – General Collection (G)" "G-G-109168/3" NA "Paraguay" NA NA "Departamento Paraguari/Departamento de Paraguarí" NA NA NA "Balansa, B." NA NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -56.73 -27.72 "CTES-VASC" "561889" NA "Argentina" "Corrientes" "Ituzaingó" "RN 12, Rincón Ombú Chico." NA NA NA "Medán, D." "16863" "Costa del río. Arbusto mas o menos 4-5 m."
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -55.32 -27.62 "HERB" "51235" "-" "Argentina" "Misiones" "Leandro N. Alem" "leandro N. Alem" NA NA NA "Buchinger, M." NA NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -56.23 -28.21 "CTES-VASC" "561893" NA "Argentina" "Corrientes" "Santo Tomé" "Garruchos, Estancia San Juan Bautista." NA NA NA "Krapovickas, A." "25164" """Arbol mas o menos 5 a 6 m de alt., N.V: """"parí-Paroa""""."""
"COUNTRY_COORDINATE_MISMATCH,GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -56.07 -27.05 "CTES-VASC" "561890" NA "Argentina" "Corrientes" "Ituzaingó" "Ea. Sta. Rita." NA NA NA "Krapovickas, A." "41160" "Isleta de selva con urunday próxima al río Paraná. Interior de isleta de selva. Arbolito joven."
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "HERB" "52704" "-" "Paraguay" "Alto Paraná" "-" "Pto Stroessner" NA NA NA "Stutz, L. C." NA NA
