"scientificname" "longitude" "latitude" "collectioncode" "catalognumber" "identifiedby" "country" "stateprovince" "county" "locality" "daycollected" "monthcollected" "yearcollected" "collector" "collectornumber" "notes" "source"
"Aralia warmingiana (Marchal) J.Wen" -37.112972 -7.846833 "HVASF" "2687" "P. Fiaschi" "Brazil" "ParaÃƒÂ­ba" NA "SÃƒÂ­tio Olhinho DÃƒÂ¡gua, Serrote do Peru" 18 12 2008 "J. Antunes" "65" "ÃƒÂrvore, ca. 5m alt. Caule acinzentado. Flores passadas, receptÃƒÂ¡culo esverdeado, gineceu alvo. Frutos esverdeados." "gbif"
"Aralia warmingiana (Marchal) J.Wen" -42.412222 -13.297222 "ALCB" "80257" NA "Brazil" "Bahia" NA "Chapada Diamantina, Chapada Diamantina" 28 4 2007 "ConceiÃƒÂ§ÃƒÂ£o, AA; Harley, RM; Santos, RM; Rocha, DSB" "1888" NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" -42.245556 -13.297222 "HUEFS" "119255" "P.Fiaschi" "Brazil" "Bahia" NA "Caminho Catuarama para Mateus." 28 4 2007 "ConceiÃƒÂ§ÃƒÂ£o, A.A." "1888" "Caatinga." "gbif"
"Aralia warmingiana (Marchal) J.Wen" -42.178611 -12.433333 "HUEFS" "118163" NA "Brazil" "Bahia" NA "Ca, 51 Km W de Seabra na BR 242." 9 4 2007 "Queiroz, L.P.de" "12666" "Caatinga." "gbif"
"Aralia warmingiana (Marchal) J.Wen" -44.32 -13.586111 "HUEFS" "118237" NA "Brazil" "Bahia" NA "Ca, 5 Km S em estrada de terra que cruza pequeno ramal que sai a 5.1 km E de Ponto d'ÃƒÂ¡gua, a 24,4 Km S de SÃƒÂ£o FÃƒÂ©lix do Coribe na estrada para Coribe." 10 4 2007 "Queiroz, L.P.de" "12740" "Floresta estacional." "gbif"
"Aralia warmingiana (Marchal) J.Wen" -39.1839 -12.1617 NA "1144310" NA "Brazil" "Bahia" "Anguera" "Fazenda Retiro, ca. 18 km de Feira de Santana na Estrada do FeijÃƒÂ£o sentido IpirÃƒÂ¡." 22 5 2007 "D. B. O. S. Cardoso" "1962" NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" -39.183889 -12.161667 "HUEFS" "120049" NA "Brazil" "Bahia" NA "Fazenda Retiro, ca. 18 Km de Feira de Santana na Estrada do FeijÃƒÂ£o sentido IpirÃƒÂ¡." 22 5 2007 "Cardoso, D." "1962" "Floresta estacional semidecÃƒÂ­dua com dossel a ca. 20 m alt. e afloramentos rochosos no topo da serra." "gbif"
"Aralia warmingiana (Marchal) J.Wen" -41.501667 -12.327222 "HUEFS" "122759" NA "Brazil" "Bahia" NA NA 12 7 2007 "Santos, R.M." "1822" "Caatinga." "gbif"
"Aralia warmingiana (Marchal) J.Wen" -44.968889 -12.376944 "HUEFS" "122708" "R.M.Santos" "Brazil" "Bahia" NA "BR 135." 2 7 2007 "Santos, R.M." "1771" "Caatinga arbÃƒÂ³rea e afloramento de calcÃƒÂ¡rio." "gbif"
"Aralia warmingiana (Marchal) J.Wen" -42.826944 -15.305833 "SPF" "173305" "Pirani, JR" "Brazil" "Minas Gerais" NA "SÃƒÂ£o JoÃƒÂ£o do Bonito." 7 4 2004 "Pirani, JR" "5468" NA "gbif"
