"scientificname" "longitude" "latitude" "collectioncode" "catalognumber" "identifiedby" "country" "stateprovince" "county" "locality" "daycollected" "monthcollected" "yearcollected" "collector" "collectornumber" "notes" "source"
"Aralia warmingiana (Marchal) J.Wen" -42.8818438826343 -20.758024038568 NA "00935759" "J. Wen" "Brazil" "Minas Gerais" "ViÃ§osa" "ViÃ§osa" 1 11 1935 "J. Kulhmann" "s.n." NA "gbif"
"Pentapanax warmingianus (Marchal) Harms" -55.53333 -27.31666 "MO" "2455242" NA "Argentina" "Misiones" "Candelaria" "Loreto" 25 1 1933 "* GRUBNER" "GRUBNER s.n.0" NA "gbif"
"Pentapanax warmingianus (Marchal) Harms" NA NA "MO" "2293351" "Synonomy,used Zuloaga 1997!" "Argentina" "Formosa" NA "Guaycole?" NA NA 1919 "Pedro JÃ¶rgensen" "JÃ¶rgensen 3254" NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" NA NA "Botany" "1065678" NA "Argentina" "Formosa" NA NA NA NA 1919 "P. Jorgensen" "3254" NA "gbif"
"Pentapanax warmingianus (Marchal) Harms" NA NA "MO" "2492237" NA "Paraguay" "Cordillera" NA "Montes Cerrito, San Bernardino" NA NA 1913 "Ã‰mile Hassler" "Hassler 12689" NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" NA NA "BOT" "BM000817788" "J. Wen" "Paraguay" "Amambay" NA NA NA NA 1910 "Benedict (Benjamin) Balansa; b.1825; d.1891; Balansa" "3158" NA "gbif"
"Pentapanax warmingianus (Marchal) Harms" NA NA "MO" "2492213" NA "Paraguay" "Amambay" NA "Sierra de Amambay, in silvis Punta PorÃ¡" NA NA 1907 "Ã‰mile Hassler" "Hassler 10387" NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" NA NA "P" "P03258228" NA "Brazil" "Rio de Janeiro" NA NA 2 8 1891 "Glaziou, A." NA NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" NA NA "P" "P03258225" NA "Brazil" "Rio de Janeiro" NA NA 28 12 1878 "Glaziou, A." NA NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" NA NA "P" "P03258227" NA "Brazil" "Rio de Janeiro" NA NA 8 10 1873 "Glaziou, A." NA NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" -46.53 -13.80333 "CEN" "41685" "P. Fiaschi" "Brazil" "Go" NA "Fazenda Forquilha. (Mata 3). Prop. Sr. Vigilato Francisco Neto." NA NA NA "Marina de Lourdes Fonseca Resende" "2947" "Ãrvore heliÃ³fito. Folhas discolores verde. CÃ¡lice verde, flores, botÃµes e estames alvos. (Linha 2, parcela 15, Ã¡rvore 305). DoaÃ§Ã£o do HerbÃ¡rio IBGE - Reserva EcolÃ³gica do IBGE. Plantas do Brasil - GoiÃ¡s." "gbif"
