Scientific_Name	specie_pop	Data	Longitude	Latitude
S_lineola	n_identificada	15/08/2016	-48.3289	-25.3067
S_lineola	n_identificada	15/08/2016	-47.92	-24.38
S_lineola	n_identificada	15/08/2016	-47.92	-24.38
S_lineola	n_identificada	15/08/2016	-36.4711	-9.31889
S_lineola	n_identificada	15/08/2016	-36.4711	-9.31889
S_lineola	n_identificada	15/08/2016	-48.12	-22.78
S_lineola	n_identificada	15/08/2016	-48.12	-22.78
S_lineola	n_identificada	15/08/2016	-48.12	-22.78
S_lineola	n_identificada	15/08/2016	-48.12	-22.78
S_lineola	n_identificada	15/08/2016	-48.12	-22.78
S_lineola	n_identificada	15/08/2016	-48.12	-22.78
S_lineola	n_identificada	15/08/2016	-48.12	-22.78
S_lineola	n_identificada	15/08/2016	-45.88	-23.17
S_lineola	n_identificada	15/08/2016	-45.88	-23.17
S_lineola	n_identificada	15/08/2016	-41.4669	-7.07694
S_lineola	n_identificada	15/08/2016	-41.4669	-7.07694
S_lineola	n_identificada	15/08/2016	-41.7769	-4.27333
S_lineola	n_identificada	15/08/2016	-44.96	-23.07
S_lineola	n_identificada	15/08/2016	-44.96	-23.07
S_lineola	n_identificada	15/08/2016	-46.3183	-22.8547
S_lineola	n_identificada	21/12/2016	-47.06	-22.9
S_lineola	n_identificada	10/02/2017	-46.99	-22.97
S_lineola	n_identificada	27/05/2015	-47.778056	-22.509722
S_lineola	n_identificada	27/05/2015	-47.060556	-22.905833
S_lineola	n_identificada	27/05/2015	-47.85	-22.2
S_lineola	n_identificada	27/05/2015	-56.486667	-2.104444
S_lineola	n_identificada	14/03/2017	-47.242802	-23.957399
				
