Specie	LONGITUDE	LATITUDE	OBSERVATION DATE
T_nigriceps	-63.7375506	-22.1025014	17/04/2016
T_nigriceps	-65.4856667	-24.6343333	02/04/2016
T_nigriceps	-65.4856667	-24.6343333	02/04/2016
T_nigriceps	-65.4856667	-24.6343333	02/04/2016
T_nigriceps	-65.4856667	-24.6343333	02/04/2016
T_nigriceps	-65.4856667	-24.6343333	02/04/2016
T_nigriceps	-63.7375506	-22.1025014	17/04/2016
T_nigriceps	-63.7375506	-22.1025014	17/04/2016
T_nigriceps	-63.7375506	-22.1025014	17/04/2016
T_nigriceps	-65.3864729	-24.699761	14/05/2016
T_nigriceps	-65.335372	-24.506264	14/05/2016
T_nigriceps	-65.337654	-24.510557	14/05/2016
T_nigriceps	-65.335372	-24.506264	14/05/2016
T_nigriceps	-65.3864729	-24.699761	14/05/2016
T_nigriceps	-65.337654	-24.510557	14/05/2016
T_nigriceps	-65.335222	-24.504797	14/05/2016
T_nigriceps	-65.335222	-24.504797	14/05/2016
T_nigriceps	-64.7317832	-25.2730232	09/05/2016
T_nigriceps	-65.335372	-24.506264	14/05/2016
T_nigriceps	-65.335222	-24.504797	14/05/2016
T_nigriceps	-65.337654	-24.510557	14/05/2016
T_nigriceps	-65.335222	-24.504797	14/05/2016
T_nigriceps	-65.337654	-24.510557	14/05/2016
T_nigriceps	-65.335372	-24.506264	14/05/2016
T_nigriceps	-65.345273	-24.5109775	23/07/2016
T_nigriceps	-65.3499729	-24.5191951	23/07/2016
T_nigriceps	-65.3499729	-24.5191951	23/07/2016
T_nigriceps	-65.345273	-24.5109775	23/07/2016
T_nigriceps	-65.3379411	-24.5100152	31/07/2016
T_nigriceps	-65.0372779	-25.7628798	26/07/2016
T_nigriceps	-65.1404178	-25.7539058	29/07/2016
T_nigriceps	-65.0373673	-25.7628053	25/07/2016
T_nigriceps	-65.0774908	-25.8029358	25/07/2016
T_nigriceps	-65.06322	-25.781037	26/07/2016
T_nigriceps	-65.0368919	-25.7610625	25/07/2016
T_nigriceps	-65.0368065	-25.7611499	26/07/2016
T_nigriceps	-65.4745235	-24.699515	14/08/2016
T_nigriceps	-65.5078736	-24.7224423	07/08/2016
T_nigriceps	-64.9866199	-32.3289899	22/02/2004
T_nigriceps	-65.0052613	-32.3200869	30/10/2004
T_nigriceps	-64.9610639	-32.5061064	16/01/2005
T_nigriceps	-64.9866199	-32.3289899	28/02/2006
T_nigriceps	-65.0333333	-32.35	06/02/2011
T_nigriceps	-64.9838734	-32.5090379	16/12/2013
T_nigriceps	-64.940443	-32.5171443	15/02/2014
T_nigriceps	-64.940443	-32.5171443	15/02/2014
T_nigriceps	-66.8031836	-29.1807539	12/10/2014
T_nigriceps	-69.4254361	-31.3187056	19/05/2005
T_nigriceps	-65.9004593	-28.0660608	25/02/2003
T_nigriceps	-65.5784655	-28.0681936	22/11/2010
T_nigriceps	-66.0099792	-28.7210215	24/02/2013
T_nigriceps	-54.455452	-25.6833032	12/01/1995
T_nigriceps	-55.5318117	-27.2552018	09/09/2000
T_nigriceps	-55.002974	-26.820409	22/01/2005
T_nigriceps	-54.455452	-25.6833032	22/09/2007
T_nigriceps	-54.1687833	-25.8573167	13/04/2008
T_nigriceps	-54.1687833	-25.8573167	13/04/2008
T_nigriceps	-54.1687833	-25.8573167	13/04/2008
T_nigriceps	-54.1687833	-25.8573167	12/10/2009
T_nigriceps	-54.1687833	-25.8573167	11/10/2009
T_nigriceps	-54.1687833	-25.8573167	12/10/2009
T_nigriceps	-54.1687833	-25.8573167	11/10/2009
T_nigriceps	-54.2013931	-27.2845359	25/10/2009
T_nigriceps	-53.9594579	-25.8598221	15/10/2011
T_nigriceps	-54.1687833	-25.8573167	10/10/2011
T_nigriceps	-53.9594579	-25.8598221	15/10/2011
T_nigriceps	-53.9594579	-25.8598221	15/10/2011
T_nigriceps	-53.9594579	-25.8598221	15/10/2011
T_nigriceps	-54.1687833	-25.8573167	11/11/2011
T_nigriceps	-54.1687833	-25.8573167	11/11/2011
T_nigriceps	-54.1687833	-25.8573167	11/11/2011
T_nigriceps	-54.4197035	-25.6762254	07/07/2012
T_nigriceps	-53.9645	-25.8418333	07/11/2012
T_nigriceps	-53.9759858	-25.8572992	05/11/2013
T_nigriceps	-54.1687833	-25.8573167	05/10/2014
T_nigriceps	-53.9759858	-25.8572992	10/10/2014
T_nigriceps	-53.8771667	-25.8281667	13/10/2014
T_nigriceps	-54.9519986	-27.0881484	16/02/2015
T_nigriceps	-53.9725471	-25.8700072	21/04/2015
T_nigriceps	-54.5740206	-25.5986648	28/05/2015
T_nigriceps	-54.5740206	-25.5986648	02/07/2015
T_nigriceps	-54.1687833	-25.8573167	01/08/2015
T_nigriceps	-54.1687833	-25.8573167	06/09/2015
T_nigriceps	-54.0143654	-25.8095115	05/09/2015
T_nigriceps	-54.1687833	-25.8573167	12/10/2015
T_nigriceps	-54.1687833	-25.8573167	12/10/2015
T_nigriceps	-53.9725471	-25.8700072	09/05/2016
T_nigriceps	-53.9594579	-25.8598221	14/05/2016
T_nigriceps	-65.186305	-26.8287021	30/08/1972
T_nigriceps	-65.6851959	-26.9161005	06/11/2000
T_nigriceps	-65.659748	-27.021381	29/09/2001
T_nigriceps	-65.7	-27.2	18/11/2001
T_nigriceps	-65.7	-27.2	18/11/2001
T_nigriceps	-65.7717133	-26.7398616	18/10/2006
T_nigriceps	-65.659748	-27.021381	15/10/2006
T_nigriceps	-65.659748	-27.021381	04/11/2006
T_nigriceps	-65.7	-26.85	01/11/2007
T_nigriceps	-65.7	-26.85	03/12/2007
T_nigriceps	-65.659748	-27.021381	17/12/2008
T_nigriceps	-65.9341693	-27.2892652	10/09/2009
T_nigriceps	-65.659748	-27.021381	26/10/2009
T_nigriceps	-65.659748	-27.021381	26/10/2009
T_nigriceps	-65.6711733	-27.0561639	30/12/2010
T_nigriceps	-65.6605625	-26.9766911	27/12/2010
T_nigriceps	-65.6635237	-26.9937162	27/12/2010
T_nigriceps	-65.6628907	-26.9957333	27/12/2010
T_nigriceps	-65.659748	-27.021381	30/09/2014
T_nigriceps	-65.659748	-27.021381	21/09/2014
T_nigriceps	-65.6621289	-26.9882764	21/10/2014
T_nigriceps	-65.659748	-27.021381	21/10/2014
T_nigriceps	-65.6617432	-27.0283718	21/10/2014
T_nigriceps	-65.6638	-26.9845	21/10/2014
T_nigriceps	-65.6617432	-27.0283718	21/10/2014
T_nigriceps	-65.6621289	-26.9882764	21/10/2014
T_nigriceps	-65.659748	-27.021381	21/10/2014
T_nigriceps	-65.659748	-27.021381	26/01/2015
T_nigriceps	-65.659748	-27.021381	26/01/2015
T_nigriceps	-65.659748	-27.021381	26/01/2015
T_nigriceps	-65.659748	-27.021381	24/07/2015
T_nigriceps	-65.3275609	-26.7733536	29/09/2015
T_nigriceps	-65.3289771	-26.7919346	26/10/2015
T_nigriceps	-65.3275609	-26.7733536	03/10/2015
T_nigriceps	-65.659748	-27.021381	02/10/2015
T_nigriceps	-65.659748	-27.021381	13/10/2015
T_nigriceps	-65.3262917	-26.7748694	04/11/2015
T_nigriceps	-65.3553861	-26.7717826	21/11/2015
T_nigriceps	-65.7	-26.85	01/12/2015
T_nigriceps	-65.475221	-26.7675815	25/12/2015
T_nigriceps	-65.4302992	-26.8560832	26/12/2015
T_nigriceps	-65.3275609	-26.7733536	03/02/2016
T_nigriceps	-65.7519239	-27.0016747	10/04/2016
T_nigriceps	-65.7674033	-26.9628858	10/04/2016
T_nigriceps	-65.7519239	-27.0016747	10/04/2016
T_nigriceps	-65.7519239	-27.0016747	10/04/2016
T_nigriceps	-65.7674033	-26.9628858	10/04/2016
T_nigriceps	-65.7674033	-26.9628858	10/04/2016
T_nigriceps	-65.659748	-27.021381	31/07/2016
T_nigriceps	-65.3275609	-26.7733536	31/07/2016
T_nigriceps	-65.3275609	-26.7733536	31/07/2016
T_nigriceps	-65.3275609	-26.7733536	30/07/2016
T_nigriceps	-65.3275609	-26.7733536	30/07/2016
T_nigriceps	-65.3275609	-26.7733536	30/07/2016
T_nigriceps	-65.659748	-27.021381	31/07/2016
T_nigriceps	-65.3275609	-26.7733536	30/07/2016
T_nigriceps	-65.3275609	-26.7733536	30/07/2016
