SCIENTIFIC NAME	LONGITUDE	LATITUDE	OBSERVATION DATE
T_subalaris	-49.4665861	-25.355118	24/10/2015
T_subalaris	-54.4384146	-25.6808279	01/10/2015
T_subalaris	-51.3979053	-28.8544468	07/11/2015
T_subalaris	-54.4857717	-25.6133381	02/10/2015
T_subalaris	-49.4059467	-27.8979561	19/11/2015
T_subalaris	-49.1369963	-25.3885739	22/11/2015
T_subalaris	-49.1369963	-25.3885739	22/11/2015
T_subalaris	-50.6112843	-29.4428621	27/11/2015
T_subalaris	-49.5886159	-28.5533897	08/12/2015
T_subalaris	-54.455452	-25.6833032	13/10/2015
T_subalaris	-49.6562558	-28.5656307	08/12/2015
T_subalaris	-50.978893	-27.4902555	15/12/2015
T_subalaris	-50.6408358	-28.197421	12/12/2015
T_subalaris	-50.823117	-27.4904905	16/12/2015
T_subalaris	-49.8566008	-27.9245023	14/12/2015
T_subalaris	-50.7587286	-27.4022879	16/12/2015
T_subalaris	-50.823117	-27.4904905	16/12/2015
T_subalaris	-50.7152081	-28.2060681	13/12/2015
T_subalaris	-50.7587286	-27.4022879	17/12/2015
T_subalaris	-50.49546	-28.433569	22/12/2015
T_subalaris	-49.8566008	-27.9245023	01/12/2015
T_subalaris	-50.1491976	-29.1775628	03/12/2015
T_subalaris	-50.1491976	-29.1775628	03/12/2015
T_subalaris	-49.8734343	-28.0452775	01/12/2015
T_subalaris	-49.8566008	-27.9245023	01/12/2015
T_subalaris	-49.8734343	-28.0452775	01/12/2015
T_subalaris	-50.3867683	-29.4238507	21/12/2015
T_subalaris	-50.6188202	-29.3422047	20/12/2015
T_subalaris	-49.5886159	-28.5533897	08/12/2015
T_subalaris	-50.3334332	-28.485868	21/12/2015
T_subalaris	-49.4665861	-25.355118	24/10/2015
T_subalaris	-47.62528	-22.43916	14/06/2015
T_subalaris	-52.4048495	-26.3908702	13/10/2015
T_subalaris	-49.9341515	-27.9512914	07/01/2016
T_subalaris	-49.869112	-28.487328	20/01/2016
T_subalaris	-49.4880787	-28.0605001	23/01/2016
T_subalaris	-49.8566008	-27.9245023	26/01/2016
T_subalaris	-47.0230883	-24.3647289	05/02/2016
T_subalaris	-48.7986088	-27.7728738	11/02/2016
T_subalaris	-49.0974069	-26.2247164	22/02/2016
T_subalaris	-49.636667	-28.160833	28/02/2016
T_subalaris	-50.1749146	-29.481018	24/03/2016
T_subalaris	-46.540711	-22.875348	17/04/2016
T_subalaris	-48.4127569	-24.2682101	22/04/2016
T_subalaris	-48.4127569	-24.2682101	10/04/2016
T_subalaris	-47.62528	-22.43916	14/05/2016
T_subalaris	-47.8863521	-15.7410334	14/05/2016
T_subalaris	-44.5949703	-22.460927	14/05/2016
T_subalaris	-43.7223455	-20.0997109	14/05/2016
T_subalaris	-43.8764694	-19.9271111	14/05/2016
T_subalaris	-43.9980556	-19.9988889	18/05/2016
T_subalaris	-43.6545833	-22.4542983	28/05/2016
T_subalaris	-46.9224931	-23.2803739	14/06/2016
T_subalaris	-46.7172676	-23.5672151	16/06/2016
T_subalaris	-46.7186844	-23.5667407	20/06/2016
T_subalaris	-48.4127569	-24.2682101	21/06/2016
T_subalaris	-46.717456	-23.5670357	24/06/2016
T_subalaris	-46.717456	-23.5670357	24/06/2016
T_subalaris	-46.674315	-22.670019	28/06/2016
T_subalaris	-46.674315	-22.670019	30/06/2016
T_subalaris	-47.5572395	-23.9984853	02/07/2016
T_subalaris	-47.5572395	-23.9984853	03/07/2016
T_subalaris	-47.5572395	-23.9984853	04/07/2016
T_subalaris	-47.5572395	-23.9984853	06/07/2016
T_subalaris	-47.5572395	-23.9984853	05/07/2016
T_subalaris	-45.25155	-22.5756556	11/07/2016
T_subalaris	-45.25155	-22.5756556	11/07/2016
T_subalaris	-47.2385073	-24.2743523	10/07/2016
T_subalaris	-47.0030737	-24.3310652	13/07/2016
T_subalaris	-47.2385073	-24.2743523	10/07/2016
T_subalaris	-47.0230883	-24.3647289	08/08/2016
T_subalaris	-47.467246	-14.092657	08/08/2016
T_subalaris	-46.7694855	-23.4582073	26/06/2016
T_subalaris	-46.7186844	-23.5667407	09/08/2016
T_subalaris	-47.0230883	-24.3647289	10/08/2016
T_subalaris	-47.0239305	-24.3639861	13/08/2016
T_subalaris	-44.7356629	-22.3561485	23/08/2016
T_subalaris	-47.152634	-24.016573	21/08/2016
T_subalaris	-48.196776	-15.671787	28/08/2016
